timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
574458877,-0.0115087,0.017638631,0.003019858,4000,0,1.0813843,0.28116715,-9.585333,4000,-21654,-0.102557495,-0.18377867,0.32288906,-5878,-52.890724,42.399998
574462877,-0.0123551935,-0.011229039,0.02808389,4000,0,-0.16584606,0.25992534,-9.774568,4000,-4882,-0.1374966,-0.20881711,0.31634656,-9878,-52.890724,42.399998
574466877,0.03605442,-0.0030647204,0.030150866,4000,0,-1.333498,-0.8590843,-9.95786,4000,-8882,-0.1374966,-0.20881711,0.31634656,-2882,-53.055637,42.399998
574470877,-0.07923016,0.05230093,0.019831616,4000,0,0.7708737,0.5675059,-10.194201,4000,-12882,-0.1374966,-0.20881711,0.31634656,-6882,-53.055637,42.399998
574474877,-0.07480088,0.0051771486,-0.034999717,4000,0,1.9304951,1.3540595,-9.140194,4000,-16882,-0.1374966,-0.20881711,0.31634656,-10882,-53.055637,42.399998
574478877,0.14860244,-0.037836056,-0.075556755,4000,0,-1.042049,-0.5875904,-9.970787,4000,-20882,-0.1374966,-0.20881711,0.31634656,-3525,-53.055637,42.399998
574482877,0.043376636,0.015741767,-0.0778908,4000,0,-0.70193225,-1.0289984,-10.524664,4000,-1805,-0.23812123,-0.21758054,0.33488363,-7525,-53.055637,42.399998
574486877,-0.11244252,0.022362277,-0.01544866,4000,0,0.2594208,0.56843966,-9.441317,4000,-5805,-0.23812123,-0.21758054,0.33488363,-11525,-53.055637,42.399998
574490879,-0.027341431,-0.0012693525,0.059708808,4002,0,-0.26437873,1.5448146,-10.030092,4002,-9807,-0.23812123,-0.21758054,0.33488363,-15527,-53.055637,42.399998
574494877,-0.041573294,0.024144297,0.09411676,3998,0,1.9219823,0.7029588,-9.337846,3998,-13805,-0.23812123,-0.21758054,0.33488363,-19525,-53.055637,42.399998
574498877,0.15911229,-0.04539582,0.055134393,4000,0,-0.93466806,-1.5825112,-10.119746,4000,-17805,-0.23812123,-0.21758054,0.33488363,-1555,-53.221817,42.399998
574502877,-0.0807104,0.0114558395,0.023903456,4000,0,-0.2176566,-0.15342651,-10.652184,4000,-21805,-0.23812123,-0.21758054,0.33488363,-5555,-53.221817,42.399998
574506877,-0.13132484,0.027542552,-0.048451133,4000,0,1.1039404,-0.13950641,-8.711607,4000,-3625,-0.16544788,-0.19003826,0.35560155,-9555,-53.221817,42.399998
574510877,0.119048536,-0.047915574,-0.077926055,4000,0,-1.61969,1.3860477,-10.714229,4000,-7625,-0.16544788,-0.19003826,0.35560155,-2882,-52.6424,42.399998
574514877,-0.08924237,0.0858262,-0.038321346,4000,0,1.9320155,-0.07248646,-9.491152,4000,-11625,-0.16544788,-0.19003826,0.35560155,-6882,-52.6424,42.399998
574518877,0.08760005,-0.04114287,-0.061302513,4000,0,0.18221661,-0.7474711,-9.961554,4000,-15625,-0.16544788,-0.19003826,0.35560155,-574,-52.890724,42.399998
574522877,-0.03806325,-0.0020563956,-0.028361982,4000,0,-1.3537626,0.3866867,-10.42295,4000,-19625,-0.16544788,-0.19003826,0.35560155,-4574,-52.890724,42.399998
574526877,-0.06475973,0.042637266,-0.035088185,4000,0,0.8412643,0.022132121,-9.005632,4000,-23625,-0.16544788,-0.19003826,0.35560155,-8574,-52.890724,42.399998
574530877,0.047095396,-0.031870496,-0.034662798,4000,0,-0.70876265,0.8282747,-10.121146,4000,-4872,-0.13050878,-0.13745756,0.32070822,-12574,-52.890724,42.399998
574534877,-0.049761467,0.03644441,0.007856666,4000,0,1.1488888,-0.019253988,-9.644475,4000,-8872,-0.13050878,-0.13745756,0.32070822,-16574,-52.890724,42.399998
574538877,0.05247291,-0.024779994,-0.017931202,4000,0,0.41326892,-0.50727946,-10.074249,4000,-12872,-0.13050878,-0.13745756,0.32070822,-20574,-52.890724,42.399998
574542877,-0.07575946,-0.016197586,0.031619858,4000,0,-1.0252411,0.8436413,-10.162561,4000,-16872,-0.13050878,-0.13745756,0.32070822,-3625,-52.725174,42.399998
