timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
574403086,0,0,0,-17000,0,108.94501,3.1415925,4294967.5,3750045.2,99.99,99.99,101,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
574606023,0,0,0,-17000,0,108.963005,3.1415925,4294967.5,3750045.2,99.99,99.99,101,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
574806023,0,0,0,-17000,0,108.982,3.1415925,4294967.5,3750045.5,99.99,99.99,101,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575008103,0,0,0,-17000,0,109.00001,3.1415925,4294967.5,3750045.5,99.99,99.99,101,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575208668,0,0,0,-17000,0,109.018005,3.1415925,4294967.5,3750045.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575406021,0,0,0,-17000,0,109.037,3.1415925,4294967.5,3750045.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575606021,0,0,0,-17000,0,109.05501,3.1415925,4294967.5,3750045.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
575806132,0,0,0,-17000,0,109.073006,3.1415925,4294967.5,3750045.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
576007058,0,0,0,-17000,0,109.092,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
576207018,0,0,0,-17000,0,109.11001,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
576406026,0,0,0,-17000,0,109.128006,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
576606158,0,0,0,-17000,0,109.147,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
576807021,0,0,0,-17000,0,109.16501,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577007094,0,0,0,-17000,0,109.18301,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577208018,0,0,0,-17000,0,109.202,3.1415925,4294967.5,3750045.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577407397,0,0,0,-17000,0,109.22001,3.1415925,4294967.5,3750046.2,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577607599,0,0,0,-17000,0,109.23801,3.1415925,4294967.5,3750046.2,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
577806023,0,0,0,-17000,0,109.257,3.1415925,4294967.5,3750046.2,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578006160,0,0,0,-17000,0,109.275,3.1415925,4294967.5,3750046.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578207128,0,0,0,-17000,0,109.29301,3.1415925,4294967.5,3750046.5,99.99,99.99,101,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578407059,0,0,0,-17000,0,109.311005,3.1415925,4294967.5,3750046.5,99.99,99.99,101,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578608193,0,0,0,-17000,0,109.33,3.1415925,4294967.5,3750046.5,99.99,99.99,101,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
578806021,0,0,0,-17000,0,109.34801,3.1415925,4294967.5,3750046.5,99.99,99.99,101,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
579006206,0,0,0,-17000,0,109.366005,3.1415925,4294967.5,3750046.5,99.99,99.99,101,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
579207220,0,0,0,-17000,0,109.385,3.1415925,4294967.5,3750046.5,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
579406018,0,0,0,-17000,0,109.40301,3.1415925,4294967.5,3750046.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
579607091,0,0,0,-17000,0,109.421005,3.1415925,4294967.5,3750046.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
579806023,0,0,0,-17000,0,109.439,3.1415925,4294967.5,3750046.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
580007019,0,0,0,-17000,0,109.45801,3.1415925,4294967.5,3750046.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
580207616,0,0,0,-17000,0,109.476006,3.1415925,4294967.5,3750046.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
580407609,0,0,0,-17000,0,109.494,3.1415925,4294967.5,3750046.8,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
580606160,0,0,0,-17000,0,109.51301,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
580808333,0,0,0,-17000,0,109.531006,3.1415925,4294967.5,3750047.0,99.99,99.99,101,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0
