timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
194513343,-0.08783296,-0.006103657,-0.0037626284,0.501882,-0.007975962,0.0024579016,0.8648958,0.0,0.0,0.0,0.0,0
194545343,0.11811713,-0.012731515,0.0024519102,0.5020152,-0.00789915,0.002540638,0.86481905,0.0,0.0,0.0,0.0,0
194573343,0.12597841,-0.0084256735,0.0131215975,0.5015915,-0.007839169,0.0026350452,0.86506516,0.0,0.0,0.0,0.0,0
194605343,-0.18510178,-0.00030047493,-0.024287293,0.5016334,-0.008139115,0.002306898,0.865039,0.0,0.0,0.0,0.0,0
194637343,0.20751283,-0.002478091,0.012835531,0.5014506,-0.0077999956,0.0026879802,0.86514693,0.0,0.0,0.0,0.0,0
194669343,-0.20188615,0.008667273,-0.008251726,0.501195,-0.0081762485,0.0022051644,0.86529297,0.0,0.0,0.0,0.0,0
194701343,0.15763389,0.009637212,0.00087910064,0.5013733,-0.007776057,0.0027312736,0.8651919,0.0,0.0,0.0,0.0,0
194733343,-0.059096336,-0.00919424,0.0055564614,0.5009944,-0.008080529,0.0022055828,0.86541,0.0,0.0,0.0,0.0,0
194765343,-0.06278914,0.008079095,-0.002152467,0.50103736,-0.007909825,0.0025552432,0.86538583,0.0,0.0,0.0,0.0,0
194797343,0.19947152,-0.024989739,0.004108844,0.5008539,-0.007833385,0.0025155307,0.86549276,0.0,0.0,0.0,0.0,0
194825343,0.14386575,0.010356756,-0.024538402,0.50077844,-0.007850601,0.002657848,0.8655358,0.0,0.0,0.0,0.0,0
194857343,0.011215073,-0.009816358,-0.0024125045,0.5007616,-0.008033537,0.0022244991,0.86554515,0.0,0.0,0.0,0.0,0
194889343,-0.1588304,0.01665683,0.0197565,0.50049126,-0.008012758,0.0023639468,0.8657014,0.0,0.0,0.0,0.0,0
194921343,0.23571306,-0.01616128,-0.030332075,0.50059736,-0.007825143,0.0024876653,0.8656413,0.0,0.0,0.0,0.0,0
194953343,-0.20933697,0.008457134,0.035407074,0.50032836,-0.008160576,0.0020878809,0.86579484,0.0,0.0,0.0,0.0,0
194985343,0.08864159,0.006724308,-0.024562117,0.50018734,-0.007897031,0.0024973315,0.8658777,0.0,0.0,0.0,0.0,0
195017354,0.06456851,-0.006967995,0.0062400806,0.5002312,-0.008005845,0.0021895517,0.8658521,0.0,0.0,0.0,0.0,0
195049343,-0.17895089,0.010551063,0.01034662,0.4999509,-0.008122526,0.0021661154,0.86601293,0.0,0.0,0.0,0.0,0
195077344,-0.047045667,0.0016787818,-0.0046438156,0.5000002,-0.008083825,0.0021048773,0.86598504,0.0,0.0,0.0,0.0,0
195109343,-0.077030316,0.009946062,0.012766926,0.4998289,-0.008012747,0.0022762413,0.86608416,0.0,0.0,0.0,0.0,0
195141343,0.17088145,-0.013231466,-0.022145461,0.4997915,-0.007904157,0.0023508724,0.8661065,0.0,0.0,0.0,0.0,0
195173343,-0.17019896,0.005513105,0.018132601,0.499661,-0.0081141945,0.0020647086,0.86618054,0.0,0.0,0.0,0.0,0
195205343,0.108477905,0.00047716917,-0.007040675,0.49947965,-0.00789671,0.0023783846,0.86628634,0.0,0.0,0.0,0.0,0
195237363,0.009672931,0.00039700093,-0.0017030684,0.49959716,-0.00800445,0.0021581405,0.86621815,0.0,0.0,0.0,0.0,0
195269343,-0.09112795,-0.003046047,0.0138894655,0.4993932,-0.008017917,0.0022369376,0.86633545,0.0,0.0,0.0,0.0,0
195301343,0.12712857,-0.010310567,-0.019026779,0.49932554,-0.007887552,0.0023319249,0.8663755,0.0,0.0,0.0,0.0,0
195329343,-0.016065616,0.011839156,0.008078518,0.49930263,-0.007964757,0.0022977015,0.86638796,0.0,0.0,0.0,0.0,0
